Date,Open,High,Low,Close,Volume,Adj Close
2015-01-13,35.0,35.56,34.8,35.5,7524600,35.5
2015-01-14,35.61,35.92,34.6,34.6,9339600,34.6
2015-01-15,34.58,36.4,34.45,35.32,11506900,35.32
2015-01-16,35.32,35.81,34.8,35.7,10813700,35.7
2015-01-19,34.77,36.67,33.8,34.53,16844000,34.53
2015-01-20,34.57,35.77,34.57,35.62,12083700,35.62
2015-01-21,36.3,37.87,36.3,36.55,17350200,36.55
2015-01-22,36.27,37.37,36.27,37.22,12569000,37.22
2015-01-23,37.15,37.49,36.06,36.44,9928800,36.44
2015-01-26,36.47,37.2,36.4,36.73,8378100,36.73
2015-01-27,36.75,37.88,36.75,37.01,17021500,37.01
2015-01-28,37.0,37.67,36.25,36.36,8328800,36.36
2015-01-29,36.25,36.25,34.88,35.06,11430600,35.06
2015-01-30,35.0,36.0,34.88,35.02,9080900,35.02
2015-02-02,33.88,33.95,33.0,33.3,25404000,33.3
2015-02-03,33.4,33.57,32.71,33.34,18677800,33.34
2015-02-04,33.52,33.88,33.1,33.8,12210300,33.8
2015-02-05,33.8,33.98,33.1,33.11,10683200,33.11
2015-02-06,33.0,33.0,31.6,31.93,11114100,31.93
2015-02-09,32.16,32.69,32.02,32.41,7492000,32.41
2015-02-10,32.41,33.3,32.32,33.26,8078900,33.26
2015-02-11,33.36,33.84,32.6,32.78,10020000,32.78
2015-02-12,32.85,33.21,32.6,32.81,6873400,32.81
2015-02-13,33.08,34.49,33.01,33.8,17905100,33.8
2015-02-16,34.29,35.88,34.25,35.6,16496700,35.6
2015-02-17,35.52,36.2,34.9,35.78,11832600,35.78
2015-02-18,35.78,35.78,35.78,35.78,0,35.78
2015-02-19,35.78,35.78,35.78,35.78,0,35.78
2015-02-20,35.78,35.78,35.78,35.78,0,35.78
2015-02-23,35.78,35.78,35.78,35.78,0,35.78
2015-02-24,35.78,35.78,35.78,35.78,0,35.78
2015-02-25,36.4,38.55,36.4,36.98,25955200,36.98
2015-02-26,37.23,37.89,36.35,36.75,13349200,36.75
2015-02-27,36.84,37.0,36.16,36.97,9557200,36.97
2015-03-02,38.51,40.67,38.5,39.49,38781200,39.49
2015-03-03,39.95,40.68,38.9,39.4,30519900,39.4
2015-03-04,39.0,39.0,38.08,38.8,15506600,38.8
2015-03-05,38.87,39.99,38.0,38.32,12509000,38.32
2015-03-06,38.32,38.5,37.0,37.06,12478200,37.06
