Date,Open,High,Low,Close,Volume,Adj Close
2015-01-13,13.05,13.38,12.97,13.07,166461000,13.07
2015-01-14,13.07,13.3,12.87,13.1,164681800,13.1
2015-01-15,13.13,13.83,13.0,13.77,242968600,13.77
2015-01-16,13.77,13.77,13.39,13.52,212947600,13.52
2015-01-19,12.5,12.9,12.17,12.17,360362500,12.17
2015-01-20,12.2,12.6,12.06,12.35,291468800,12.35
2015-01-21,12.33,13.2,12.1,13.05,355529400,13.05
2015-01-22,13.02,13.65,12.92,13.58,322472700,13.58
2015-01-23,13.57,14.09,13.3,13.92,331040800,13.92
2015-01-26,13.99,14.0,13.44,13.7,216268500,13.7
2015-01-27,13.67,13.72,12.86,13.18,280401800,13.18
2015-01-28,13.11,13.27,12.88,13.0,156174300,13.0
2015-01-29,12.7,13.17,12.62,13.01,146830300,13.01
2015-01-30,13.09,13.49,12.8,13.12,209624700,13.12
2015-02-02,12.79,13.39,12.48,12.88,197676000,12.88
2015-02-03,12.91,13.13,12.3,12.96,293687100,12.96
2015-02-04,12.9,13.16,12.77,12.8,166087200,12.8
2015-02-05,13.39,13.53,12.68,12.7,316036000,12.7
2015-02-06,12.62,12.62,11.98,12.16,316318600,12.16
2015-02-09,12.03,12.33,11.74,12.18,127802400,12.18
2015-02-10,12.11,12.47,12.05,12.42,107745600,12.42
2015-02-11,12.5,12.64,12.34,12.41,87832900,12.41
2015-02-12,12.41,12.55,12.2,12.47,89526700,12.47
2015-02-13,12.54,13.01,12.33,12.76,196804300,12.76
2015-02-16,12.66,12.76,12.53,12.64,130814400,12.64
2015-02-17,12.71,12.83,12.62,12.77,119878300,12.77
2015-02-18,12.77,12.77,12.77,12.77,0,12.77
2015-02-19,12.77,12.77,12.77,12.77,0,12.77
2015-02-20,12.77,12.77,12.77,12.77,0,12.77
2015-02-23,12.77,12.77,12.77,12.77,0,12.77
2015-02-24,12.77,12.77,12.77,12.77,0,12.77
2015-02-25,12.77,12.77,12.33,12.4,149805100,12.4
2015-02-26,12.4,12.85,12.35,12.85,173376200,12.85
2015-02-27,12.77,12.97,12.69,12.75,124631800,12.75
2015-03-02,13.02,13.1,12.63,12.77,322563400,12.77
2015-03-03,12.62,12.63,12.16,12.2,236553500,12.2
2015-03-04,12.2,12.38,12.04,12.22,164713700,12.22
2015-03-05,12.09,12.16,11.81,11.9,179378600,11.9
2015-03-06,11.9,12.13,11.88,11.94,110503600,11.94
2015-03-09,11.8,12.36,11.53,12.22,204422900,12.22
2015-03-10,12.09,12.16,11.97,12.02,107710900,12.02
2015-03-11,12.02,12.2,11.87,11.93,115373300,11.93
2015-03-12,12.06,12.29,11.96,12.22,181872800,12.22
2015-03-13,12.27,12.4,12.16,12.23,133406900,12.23
