Date,Open,High,Low,Close,Volume,Adj Close
2015-01-13,8.36,8.59,8.24,8.3,68228900,8.3
2015-01-14,8.38,8.48,8.22,8.29,57668500,8.29
2015-01-15,8.37,8.66,8.35,8.65,83653100,8.65
2015-01-16,8.64,8.85,8.52,8.62,78155300,8.62
2015-01-19,8.22,8.36,7.76,7.76,134769800,7.76
2015-01-20,7.91,8.1,7.81,7.96,79998900,7.96
2015-01-21,7.98,8.58,7.96,8.51,108386000,8.51
2015-01-22,8.51,8.57,8.31,8.45,80220200,8.45
2015-01-23,8.4,8.59,8.33,8.43,84209300,8.43
2015-01-26,8.38,8.54,8.23,8.52,78294300,8.52
2015-01-27,8.59,8.92,8.36,8.9,164627700,8.9
2015-01-28,8.88,9.2,8.77,8.92,171133500,8.92
2015-01-29,8.8,9.18,8.75,9.12,107148800,9.12
2015-01-30,9.11,9.2,8.61,8.66,99558700,8.66
2015-02-02,8.48,8.48,8.08,8.17,76727900,8.17
2015-02-03,8.15,8.52,8.13,8.44,63741700,8.44
2015-02-04,8.55,8.65,8.33,8.58,79165700,8.58
2015-02-05,8.97,8.97,8.35,8.36,83745200,8.36
2015-02-06,8.24,8.45,8.12,8.22,50770400,8.22
2015-02-09,8.23,8.37,8.2,8.31,29623200,8.31
2015-02-10,8.31,8.52,8.24,8.51,55391100,8.51
2015-02-11,8.53,8.58,8.35,8.4,43058800,8.4
2015-02-12,8.41,8.44,8.28,8.34,37147700,8.34
2015-02-13,8.4,8.68,8.35,8.64,64690800,8.64
2015-02-16,8.65,8.65,8.51,8.58,46111200,8.58
2015-02-17,8.6,9.08,8.58,9.02,118844500,9.02
2015-02-18,9.02,9.02,9.02,9.02,0,9.02
2015-02-19,9.02,9.02,9.02,9.02,0,9.02
2015-02-20,9.02,9.02,9.02,9.02,0,9.02
2015-02-23,9.02,9.02,9.02,9.02,0,9.02
2015-02-24,9.02,9.02,9.02,9.02,0,9.02
2015-02-25,9.12,9.2,8.86,8.92,85497200,8.92
2015-02-26,9.03,9.81,8.95,9.81,280226000,9.81
2015-02-27,10.0,10.07,9.61,9.69,214146200,9.69
2015-03-02,9.78,10.0,9.61,9.79,141421700,9.79
2015-03-03,9.7,9.71,9.31,9.45,185849700,9.45
2015-03-04,9.35,9.43,9.21,9.32,96602200,9.32
2015-03-05,9.36,9.46,9.11,9.24,107429300,9.24
2015-03-06,9.25,9.33,9.05,9.08,73970200,9.08
2015-03-09,9.01,9.27,8.88,9.26,66476600,9.26
2015-03-10,9.2,9.25,9.12,9.16,48510000,9.16
2015-03-11,9.15,9.24,9.01,9.08,59538000,9.08
2015-03-12,9.14,9.43,9.0,9.4,92132300,9.4
2015-03-13,9.4,9.4,9.23,9.3,92145700,9.3
2015-03-16,9.35,9.39,9.2,9.37,125489600,9.37
2015-03-17,9.4,9.75,9.4,9.57,174349500,9.57
2015-03-18,9.53,9.69,9.45,9.66,149863600,9.66
2015-03-19,9.65,10.45,9.52,10.12,292323500,10.12
2015-03-20,10.13,10.2,9.88,9.95,163948000,9.95
2015-03-23,10.01,10.2,9.96,10.1,170585700,10.1
2015-03-24,10.15,10.21,9.55,9.85,177619900,9.85
2015-03-25,9.8,10.09,9.6,10.05,149612200,10.05
2015-03-26,10.0,10.02,9.69,9.73,378669800,9.73
2015-03-27,9.68,10.04,9.61,9.82,222901400,9.82
2015-03-30,9.9,10.8,9.83,10.69,421803800,10.69
2015-03-31,10.8,10.8,10.23,10.27,338054100,10.27
2015-04-01,10.4,10.55,10.3,10.39,236180400,10.39
2015-04-02,10.41,10.47,10.18,10.39,206302900,10.39
2015-04-03,10.26,10.41,10.2,10.34,138695200,10.34
2015-04-06,10.34,10.34,10.34,10.34,0,10.34
2015-04-07,10.39,10.49,10.32,10.42,241149000,10.42
2015-04-08,10.58,10.82,10.41,10.6,329127900,10.6
2015-04-09,10.58,10.59,10.05,10.17,207127200,10.17
2015-04-10,10.2,10.31,10.11,10.28,141322100,10.28
2015-04-13,10.32,10.49,10.21,10.46,259081400,10.46
2015-04-14,10.47,10.96,10.32,10.89,401815600,10.89
2015-04-15,10.8,11.98,10.59,11.65,507228400,11.65
2015-04-16,11.65,11.99,11.0,11.53,459604900,11.53
2015-04-17,11.69,12.52,11.58,12.24,505966100,12.24
2015-04-20,12.5,13.46,12.5,13.46,652309000,13.46
2015-04-21,13.66,13.97,12.76,13.41,541888700,13.41
2015-04-22,13.45,14.4,13.15,13.7,437204500,13.7
2015-04-23,13.71,13.89,13.33,13.51,302086100,13.51
2015-04-24,13.83,14.55,13.59,13.89,397921200,13.89
2015-04-27,14.09,14.39,13.69,14.19,399167500,14.19
2015-04-28,13.9,14.15,13.25,13.38,317431500,13.38
2015-04-29,13.4,13.51,12.83,13.18,209193200,13.18
2015-04-30,13.18,14.5,13.18,13.88,400272000,13.88
2015-05-01,13.88,13.88,13.88,13.88,0,13.88
2015-05-04,13.86,14.97,13.58,14.69,418714900,14.69
2015-05-05,14.69,14.69,13.22,13.22,351666100,13.22
2015-05-06,13.17,13.46,12.43,12.66,248299100,12.66
2015-05-07,12.47,12.47,11.39,11.4,240638400,11.4
2015-05-08,11.5,11.85,11.1,11.78,220115300,11.78
2015-05-11,11.98,12.17,11.58,12.12,222910600,12.12
2015-05-12,12.13,12.51,11.93,12.48,218900000,12.48
2015-05-13,12.44,12.67,11.98,12.18,225805400,12.18
2015-05-14,12.22,12.35,11.82,11.97,160193000,11.97
2015-05-15,12.0,12.07,11.71,11.83,124864700,11.83
2015-05-18,11.82,12.05,11.58,11.85,134800500,11.85
2015-05-19,11.88,12.65,11.87,12.49,219174800,12.49
2015-05-20,12.63,12.63,12.2,12.34,230987300,12.34
2015-05-21,12.27,12.54,12.15,12.5,176666900,12.5
2015-05-22,12.9,13.2,12.75,12.94,269676900,12.94
