Date,Open,High,Low,Close,Volume,Adj Close
2015-01-13,3.21,3.32,3.2,3.27,234447300,3.27
2015-01-14,3.26,3.31,3.18,3.19,232731600,3.19
2015-01-15,3.19,3.26,3.16,3.26,216831100,3.26
2015-01-16,3.26,3.32,3.25,3.29,248294700,3.29
2015-01-19,3.16,3.21,2.96,3.01,428858800,3.01
2015-01-20,3.04,3.11,3.03,3.1,303975300,3.1
2015-01-21,3.1,3.19,3.08,3.19,299149500,3.19
2015-01-22,3.18,3.21,3.14,3.19,243747000,3.19
2015-01-23,3.19,3.21,3.13,3.15,224271300,3.15
2015-01-26,3.14,3.19,3.12,3.19,214589300,3.19
2015-01-27,3.18,3.23,3.14,3.2,300371400,3.2
2015-01-28,3.19,3.19,3.14,3.16,198493800,3.16
2015-01-29,3.11,3.15,3.07,3.13,221679900,3.13
2015-01-30,3.13,3.19,3.11,3.11,229695300,3.11
2015-02-02,3.06,3.08,3.03,3.04,204906000,3.04
2015-02-03,3.05,3.09,3.04,3.08,160730800,3.08
2015-02-04,3.08,3.09,3.04,3.05,197640700,3.05
2015-02-05,3.09,3.09,2.99,3.0,236409700,3.0
2015-02-06,2.99,3.0,2.84,2.87,318446400,2.87
2015-02-09,2.87,2.88,2.79,2.8,320965400,2.8
2015-02-10,2.81,2.87,2.78,2.86,263086900,2.86
2015-02-11,2.87,3.02,2.85,3.01,476276600,3.01
2015-02-12,2.98,3.07,2.97,3.04,363472200,3.04
2015-02-13,3.04,3.06,3.0,3.04,288437700,3.04
2015-02-16,3.04,3.1,3.03,3.09,268256200,3.09
2015-02-17,3.09,3.13,3.08,3.09,175024100,3.09
2015-02-18,3.09,3.09,3.09,3.09,0,3.09
2015-02-19,3.09,3.09,3.09,3.09,0,3.09
2015-02-20,3.09,3.09,3.09,3.09,0,3.09
2015-02-23,3.09,3.09,3.09,3.09,0,3.09
2015-02-24,3.09,3.09,3.09,3.09,0,3.09
2015-02-25,3.09,3.11,3.04,3.06,167549400,3.06
2015-02-26,3.06,3.09,3.01,3.09,243255200,3.09
2015-02-27,3.08,3.18,3.06,3.16,411818700,3.16
2015-03-02,3.16,3.18,3.13,3.18,374392100,3.18
2015-03-03,3.16,3.16,3.09,3.1,331347900,3.1
2015-03-04,3.09,3.28,3.08,3.26,589593200,3.26
2015-03-05,3.25,3.26,3.18,3.21,355728700,3.21
2015-03-06,3.2,3.24,3.15,3.15,254802600,3.15
2015-03-09,3.14,3.18,3.07,3.16,252042600,3.16
2015-03-10,3.15,3.22,3.13,3.17,261797900,3.17
2015-03-11,3.16,3.18,3.11,3.12,261976000,3.12
2015-03-12,3.14,3.15,3.1,3.13,234841100,3.13
2015-03-13,3.13,3.15,3.12,3.14,241872900,3.14
2015-03-16,3.15,3.23,3.14,3.22,452005500,3.22
2015-03-17,3.22,3.54,3.22,3.54,1208256000,3.54
2015-03-18,3.64,3.89,3.58,3.89,2066636600,3.89
2015-03-19,3.89,3.96,3.79,3.83,1385123500,3.83
2015-03-20,3.83,4.12,3.82,3.94,1142709700,3.94
2015-03-23,4.02,4.09,3.95,4.04,975993000,4.04
2015-03-24,4.04,4.35,3.95,4.24,1356729200,4.24
2015-03-25,4.21,4.21,4.11,4.13,874140000,4.13
2015-03-26,4.11,4.11,4.0,4.01,743084700,4.01
2015-03-27,4.01,4.07,3.97,4.04,479091400,4.04
2015-03-30,4.06,4.15,4.02,4.1,788354700,4.1
2015-03-31,4.12,4.13,4.01,4.03,563917000,4.03
2015-04-01,4.01,4.15,4.0,4.1,651142800,4.1
2015-04-02,4.1,4.25,4.07,4.14,1019292300,4.14
2015-04-03,4.13,4.18,4.11,4.15,668375000,4.15
2015-04-06,4.15,4.15,4.15,4.15,0,4.15
2015-04-07,4.17,4.34,4.15,4.29,945681600,4.29
2015-04-08,4.31,4.35,4.1,4.21,836358800,4.21
2015-04-09,4.21,4.21,4.03,4.1,654741900,4.1
2015-04-10,4.16,4.3,4.16,4.24,716030100,4.24
2015-04-13,4.25,4.66,4.21,4.66,1126766100,4.66
2015-04-14,4.75,5.11,4.66,4.9,1389373700,4.9
2015-04-15,4.89,4.89,4.41,4.42,2352258000,4.42
2015-04-16,4.33,4.59,4.2,4.5,1151381100,4.5
2015-04-17,4.54,4.57,4.42,4.47,2109917400,4.47
2015-04-20,4.5,4.72,4.4,4.63,2338180000,4.63
2015-04-21,4.64,4.88,4.54,4.83,1929420400,4.83
2015-04-22,4.83,4.98,4.8,4.82,2649061600,4.82
2015-04-23,4.88,4.9,4.68,4.76,2979433800,4.76
2015-04-24,4.7,4.72,4.5,4.61,2327475800,4.61
2015-04-27,4.64,4.74,4.57,4.69,2088581600,4.69
