Date,Open,High,Low,Close,Volume,Adj Close
2015-01-13,30.95,31.46,30.8,31.38,14965100,31.38
2015-01-14,31.5,31.63,30.02,30.37,12278100,30.37
2015-01-15,30.27,30.97,30.18,30.71,10254200,30.71
2015-01-16,30.6,31.55,30.53,31.29,11532800,31.29
2015-01-19,30.25,30.81,28.6,28.95,21424300,28.95
2015-01-20,29.05,29.9,28.8,29.78,18196300,29.78
2015-01-21,29.83,30.45,29.75,30.2,16014900,30.2
2015-01-22,30.26,30.6,29.8,29.89,11351500,29.89
2015-01-23,29.98,31.18,29.69,30.6,16968600,30.6
2015-01-26,30.5,31.62,30.03,31.54,16813800,31.54
2015-01-27,31.41,31.82,30.5,30.97,18805000,30.97
2015-01-28,30.98,31.78,30.66,31.1,14449100,31.1
2015-01-29,30.79,31.29,30.3,30.68,8806200,30.68
2015-01-30,30.9,30.96,29.38,29.46,16668700,29.46
2015-02-02,29.0,29.39,28.58,28.99,10792800,28.99
2015-02-03,29.28,29.5,28.8,29.3,11793300,29.3
2015-02-04,29.3,29.43,28.65,28.69,10862900,28.69
2015-02-05,28.99,29.19,28.33,28.38,10112300,28.38
2015-02-06,28.2,28.65,27.69,27.9,10035300,27.9
2015-02-09,28.0,28.46,27.9,28.46,10401600,28.46
2015-02-10,28.5,28.72,28.06,28.32,8710800,28.32
2015-02-11,28.32,29.04,28.28,29.03,12643300,29.03
2015-02-12,28.99,29.25,28.75,29.15,7181700,29.15
2015-02-13,29.4,29.79,29.12,29.2,11820800,29.2
2015-02-16,29.2,29.91,29.1,29.45,12349500,29.45
2015-02-17,29.54,30.23,29.51,30.0,11603700,30.0
2015-02-18,30.0,30.0,30.0,30.0,0,30.0
2015-02-19,30.0,30.0,30.0,30.0,0,30.0
2015-02-20,30.0,30.0,30.0,30.0,0,30.0
2015-02-23,30.0,30.0,30.0,30.0,0,30.0
2015-02-24,30.0,30.0,30.0,30.0,0,30.0
2015-02-25,29.99,30.22,29.0,29.6,9179800,29.6
2015-02-26,29.59,29.9,29.35,29.79,5869900,29.79
2015-02-27,29.8,30.09,29.7,29.78,7981300,29.78
2015-03-02,32.76,32.76,32.76,32.76,12255100,32.76
2015-03-03,35.19,35.49,33.64,33.95,79999200,33.95
2015-03-04,33.44,34.63,33.18,34.2,27182500,34.2
2015-03-05,34.05,34.44,33.26,33.65,21933500,33.65
2015-03-06,33.65,33.88,31.68,32.0,28240800,32.0
2015-03-09,32.0,33.11,31.9,33.07,15842900,33.07
2015-03-10,32.89,33.5,32.69,32.77,10964300,32.77
2015-03-11,32.77,33.3,32.56,33.09,10101700,33.09
2015-03-12,33.09,33.2,31.73,32.2,13960500,32.2
2015-03-13,32.19,32.39,31.66,32.38,11914000,32.38
2015-03-16,32.7,33.3,32.2,33.08,16287200,33.08
2015-03-17,33.16,33.9,32.94,33.24,16590400,33.24
