Date,Open,High,Low,Close,Volume,Adj Close
2015-01-13,32.01,33.48,31.51,33.2,45576500,32.31348
2015-01-14,33.39,33.4,31.4,31.88,36526900,31.02873
2015-01-15,31.85,32.45,31.05,32.05,30902700,31.194190000000003
2015-01-16,32.0,32.05,31.15,31.48,37834300,30.639409999999998
2015-01-19,30.0,31.0,28.33,29.47,61883300,28.68308
2015-01-20,29.51,30.87,29.48,30.5,44534800,29.685579999999998
2015-01-21,30.56,31.42,30.09,31.18,38473000,30.34742
2015-01-22,31.19,31.38,30.5,30.86,26107200,30.035970000000002
2015-01-23,30.89,31.28,30.31,30.5,26872700,29.685579999999998
2015-01-26,30.8,31.09,30.54,30.8,24519200,29.97757
2015-01-27,31.02,31.3,30.25,30.85,35751800,30.02624
2015-01-28,30.45,30.81,30.06,30.38,22639300,29.56878
2015-01-29,29.63,30.3,29.6,29.9,23934400,29.1016
2015-01-30,29.96,30.9,29.95,30.03,26077800,29.22813
2015-02-02,29.5,29.94,28.88,28.89,23259000,28.118570000000002
2015-02-03,29.46,29.5,29.0,29.37,17933400,28.58575
2015-02-04,29.76,30.27,29.3,29.31,20930300,28.527359999999998
2015-02-05,30.0,30.49,29.0,29.0,29547800,28.22563
2015-02-06,29.01,29.73,28.51,29.11,15643100,28.3327
2015-02-09,29.18,29.99,29.01,29.56,18004000,28.77068
2015-02-10,29.9,30.58,29.7,30.45,23668500,29.63692
2015-02-11,30.8,30.8,30.22,30.37,16115700,29.55905
2015-02-12,30.5,30.76,30.16,30.39,13467500,29.57852
2015-02-13,30.51,30.76,30.14,30.33,22937000,29.520120000000002
2015-02-16,30.44,30.5,30.0,30.18,19525900,29.37412
2015-02-17,30.3,31.84,30.1,31.59,38347900,30.74648
2015-02-18,31.59,31.59,31.59,31.59,0,30.74648
2015-02-19,31.59,31.59,31.59,31.59,0,30.74648
2015-02-20,31.59,31.59,31.59,31.59,0,30.74648
2015-02-23,31.59,31.59,31.59,31.59,0,30.74648
2015-02-24,31.59,31.59,31.59,31.59,0,30.74648
2015-02-25,31.9,32.35,31.3,31.79,36733400,30.94114
2015-02-26,31.66,31.79,31.12,31.75,18684300,30.9022
2015-02-27,31.7,31.98,31.19,31.46,19939300,30.61995
2015-03-02,31.54,31.83,31.14,31.46,26377600,30.61995
2015-03-03,31.17,31.52,30.3,30.34,28407700,29.52985
2015-03-04,30.3,31.14,30.15,30.8,24591400,29.97757
2015-03-05,30.2,30.49,29.5,29.7,34709500,28.906940000000002
2015-03-06,29.75,29.95,29.2,29.42,21417500,28.634420000000002
2015-03-09,29.0,30.0,28.8,29.98,25717000,29.17946
2015-03-10,29.85,30.33,29.66,29.81,18973600,29.014
2015-03-11,29.82,30.97,29.81,30.97,32050400,30.14303
2015-03-12,31.32,31.38,30.66,30.68,20273000,29.860770000000002
2015-03-13,30.69,31.5,30.6,31.0,19703500,30.17223
2015-03-16,31.2,31.6,30.7,31.5,24284200,30.65888
2015-03-17,31.75,31.78,31.2,31.47,29110900,30.62968
2015-03-18,31.7,32.0,31.32,31.99,37977200,31.135790000000004
2015-03-19,32.18,32.68,31.69,32.0,34273100,31.145529999999997
2015-03-20,31.86,32.3,31.46,31.51,31521700,30.668609999999997
2015-03-23,31.81,32.57,31.6,32.21,31957700,31.34992
2015-03-24,32.61,32.78,31.53,32.09,39188900,31.23312
2015-03-25,31.6,31.83,31.4,31.54,28349800,30.697809999999997
2015-03-26,31.54,31.54,31.54,31.54,0,30.697809999999997
2015-03-27,31.54,31.54,31.54,31.54,0,30.697809999999997
2015-03-30,31.54,31.54,31.54,31.54,0,30.697809999999997
2015-03-31,34.69,34.69,32.51,32.95,75600400,32.070159999999994
2015-04-01,32.99,34.5,32.7,34.18,47880100,33.267309999999995
2015-04-02,34.57,34.68,33.43,34.24,40829300,33.32571
2015-04-03,34.13,34.13,33.45,33.88,36814400,32.97533
2015-04-06,33.88,33.88,33.88,33.88,0,32.97533
2015-04-07,34.31,34.89,33.72,34.15,48914300,33.23812
2015-04-08,34.25,34.28,33.31,33.91,37363900,33.00452
2015-04-09,33.91,33.95,32.53,32.88,40755000,32.00203
2015-04-10,32.42,33.6,32.42,33.52,35420700,32.62494
2015-04-13,33.7,34.25,32.8,33.0,72082900,32.11882
2015-04-14,32.98,33.45,32.64,33.21,42832200,32.32322
2015-04-15,33.15,33.15,32.03,32.03,41864100,31.17472
2015-04-16,32.03,33.4,31.86,33.4,42619100,32.508140000000004
2015-04-17,34.15,36.5,33.68,35.78,78378200,34.82459
2015-04-20,35.7,36.49,34.63,35.1,57472200,34.16275
2015-04-21,35.49,37.15,35.18,37.0,57130300,36.01202
2015-04-22,37.7,38.88,37.0,37.01,55425300,36.02175
2015-04-23,37.05,37.49,36.17,36.53,36886200,35.55457
2015-04-24,36.25,36.97,35.8,36.2,33808100,35.23338
2015-04-27,36.6,37.44,36.16,36.58,33569100,35.603229999999996
2015-04-28,37.48,38.88,36.75,37.37,81213100,36.37214
2015-04-29,37.82,38.37,37.27,37.45,46196000,36.45
2015-04-30,36.28,37.66,36.0,36.97,54409300,36.97
2015-05-01,36.97,36.97,36.97,36.97,0,36.97
2015-05-04,36.95,36.96,35.9,36.08,37443000,36.08
2015-05-05,35.9,35.98,33.87,34.09,41778500,34.09
2015-05-06,34.8,34.93,33.91,34.13,35435000,34.13
2015-05-07,34.0,35.13,33.72,34.88,28520600,34.88
2015-05-08,35.5,35.86,34.75,35.2,34991200,35.2
2015-05-11,35.1,35.65,34.58,35.65,40356400,35.65
2015-05-12,35.7,36.18,35.1,35.46,32285600,35.46
2015-05-13,35.55,36.5,35.2,35.9,38728900,35.9
2015-05-14,35.77,36.15,35.25,35.41,23474500,35.41
2015-05-15,35.25,35.29,33.96,34.2,26969800,34.2
2015-05-18,34.0,34.0,33.13,33.21,30773500,33.21
2015-05-19,33.33,35.0,33.3,34.83,35521000,34.83
2015-05-20,35.6,36.56,35.22,35.84,48865400,35.84
2015-05-21,36.48,38.48,36.48,38.1,49851500,38.1
2015-05-22,38.3,38.55,37.02,38.12,35661000,38.12
