Date,Open,High,Low,Close,Volume,Adj Close
2015-01-13,15.13,15.41,15.1,15.18,178404900,15.18
2015-01-14,15.31,15.79,15.31,15.49,309018800,15.49
2015-01-15,15.49,16.15,15.39,16.12,329826800,16.12
2015-01-16,16.24,16.75,16.16,16.47,480245900,16.47
2015-01-19,15.38,15.73,14.82,14.82,623520900,14.82
2015-01-20,14.88,15.17,14.58,15.0,479215700,15.0
2015-01-21,15.1,15.87,14.81,15.74,487540300,15.74
2015-01-22,15.73,15.76,15.35,15.63,294738200,15.63
2015-01-23,15.74,16.04,15.54,15.63,320043000,15.63
2015-01-26,15.56,15.59,15.13,15.43,268566900,15.43
2015-01-27,15.44,15.44,14.75,15.01,351914000,15.01
2015-01-28,14.82,15.11,14.66,14.81,242203000,14.81
2015-01-29,14.58,14.68,14.32,14.42,266968000,14.42
2015-01-30,14.58,14.69,14.36,14.47,207865300,14.47
2015-02-02,14.06,14.26,13.99,14.04,211617600,14.04
2015-02-03,14.21,14.46,14.02,14.45,196263500,14.45
2015-02-04,14.5,14.59,14.12,14.18,167896200,14.18
2015-02-05,14.75,14.8,14.17,14.18,394332700,14.18
2015-02-06,14.09,14.32,13.95,14.09,186547500,14.09
2015-02-09,14.06,14.27,13.85,14.16,224585500,14.16
2015-02-10,14.15,14.48,14.08,14.43,183693500,14.43
2015-02-11,14.43,14.54,14.31,14.42,124127100,14.42
2015-02-12,14.42,14.43,14.11,14.35,148954100,14.35
2015-02-13,14.5,14.67,14.35,14.43,208366800,14.43
2015-02-16,14.43,14.46,14.26,14.4,139220000,14.4
2015-02-17,14.42,14.58,14.41,14.47,120665200,14.47
2015-02-18,14.47,14.47,14.47,14.47,0,14.47
2015-02-19,14.47,14.47,14.47,14.47,0,14.47
2015-02-20,14.47,14.47,14.47,14.47,0,14.47
2015-02-23,14.47,14.47,14.47,14.47,0,14.47
2015-02-24,14.47,14.47,14.47,14.47,0,14.47
2015-02-25,14.48,14.5,14.18,14.28,140932500,14.28
2015-02-26,14.25,14.68,14.11,14.62,215013900,14.62
2015-02-27,14.6,14.8,14.48,14.53,195606800,14.53
2015-03-02,14.58,14.58,14.36,14.48,218763200,14.48
2015-03-03,14.44,14.44,13.98,14.0,266372400,14.0
2015-03-04,14.05,14.07,13.85,13.91,156596000,13.91
2015-03-05,13.84,13.84,13.51,13.58,226504500,13.58
2015-03-06,13.58,13.78,13.54,13.63,128036300,13.63
2015-03-09,13.81,14.7,13.61,14.51,434801500,14.51
2015-03-10,14.32,14.37,14.07,14.1,254844700,14.1
2015-03-11,14.17,14.56,14.17,14.25,215069700,14.25
2015-03-12,14.65,15.56,14.58,15.12,632781900,15.12
2015-03-13,15.19,15.8,15.08,15.29,440178400,15.29
2015-03-16,15.56,15.61,15.2,15.47,316116600,15.47
2015-03-17,15.6,15.68,15.36,15.54,309677600,15.54
2015-03-18,15.57,15.88,15.43,15.88,354655100,15.88
2015-03-19,15.88,15.89,15.58,15.64,316770900,15.64
2015-03-20,15.62,16.09,15.37,15.75,456531200,15.75
2015-03-23,15.82,16.04,15.77,15.91,357592700,15.91
2015-03-24,15.89,16.0,15.6,15.69,324657500,15.69
2015-03-25,15.6,15.72,15.15,15.24,331730300,15.24
2015-03-26,15.15,15.58,15.04,15.36,282340700,15.36
2015-03-27,15.32,15.55,15.17,15.36,218174900,15.36
2015-03-30,15.55,16.2,15.44,16.02,487442600,16.02
2015-03-31,16.48,16.58,15.74,15.79,494049200,15.79
2015-04-01,15.79,16.14,15.75,15.95,305878300,15.95
2015-04-02,16.3,16.38,15.87,16.18,410087600,16.18
2015-04-03,16.0,16.29,15.93,16.2,320361500,16.2
2015-04-06,16.2,16.2,16.2,16.2,0,16.2
2015-04-07,16.5,16.87,16.45,16.71,502260200,16.71
2015-04-08,16.73,17.04,16.45,17.02,514816400,17.02
2015-04-09,17.05,17.48,16.8,16.87,497335400,16.87
2015-04-10,16.86,17.57,16.76,17.53,451543400,17.53
2015-04-13,17.99,18.48,17.62,18.03,581406600,18.03
2015-04-14,18.03,18.04,17.56,17.89,372837000,17.89
2015-04-15,17.8,18.45,17.71,17.96,449643900,17.96
2015-04-16,17.97,18.67,17.85,18.65,415984500,18.65
2015-04-17,18.95,19.05,18.47,18.6,490159300,18.6
2015-04-20,18.72,18.72,17.6,17.9,572435800,17.9
2015-04-21,17.75,18.19,17.75,18.16,368194600,18.16
2015-04-22,18.3,18.55,18.08,18.5,420766700,18.5
2015-04-23,18.5,18.64,18.11,18.22,363593600,18.22
2015-04-24,17.8,18.03,17.46,17.68,422927100,17.68
2015-04-27,17.72,18.25,17.72,18.17,384541400,18.17
2015-04-28,18.24,19.0,18.0,18.3,600054000,18.3
2015-04-29,18.27,18.66,18.06,18.53,358393700,18.53
2015-04-30,18.28,18.46,18.05,18.07,412760500,18.07
2015-05-01,18.07,18.07,18.07,18.07,0,18.07
2015-05-04,18.0,18.0,17.6,17.81,258064500,17.81
2015-05-05,17.73,17.75,16.85,17.08,375386400,17.08
2015-05-06,17.08,17.51,16.97,17.06,303607800,17.06
2015-05-07,17.03,17.28,16.98,17.07,214390700,17.07
2015-05-08,17.19,17.3,16.82,17.11,184560000,17.11
2015-05-11,16.98,17.31,16.79,17.27,277153400,17.27
2015-05-12,17.25,17.4,17.04,17.24,219176300,17.24
2015-05-13,17.33,17.39,16.9,17.07,245244500,17.07
2015-05-14,17.1,17.25,16.94,16.99,192361900,16.99
2015-05-15,16.91,17.07,16.59,16.78,209597200,16.78
2015-05-18,16.62,16.76,16.34,16.38,187555200,16.38
2015-05-19,16.37,17.09,16.35,17.04,242251200,17.04
2015-05-20,17.04,17.49,16.97,17.15,265675700,17.15
2015-05-21,17.25,17.4,17.1,17.32,166403400,17.32
2015-05-22,17.46,17.79,17.34,17.76,248087500,17.76
